"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-12","12.30"," 0035"," 1002","0.08","   73","1.5","8",,"35","22","  512","  240","  300","0.0","23.9","29.1","    1",,,,,,"    1","    1","    1",,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-13","11.18"," 1438"," 1614","0.00","   35","0.0","7",,"46","19","  251","  240","  240","0.0","32.0","40.9","    1",,,,,,"    1","    1",,,"    1",,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-14","6.49"," 1757"," 0633","0.00","   26","0.0","5",,"49","31","  183","  160","  160","0.0","10.1","15.0","    1",,,,,,"    1","    1",,,"    1",,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-15","9.17"," 1102"," 1112","0.00","   34","0.0","3",,"38","31","  240","  240","  230","0.0","16.1","17.9","    1","    1",,,,,,"    1","    1",,"    1","    1",,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-16","9.84"," 1617"," 1543","0.02","   69","0.1","2",,"34","24","  494","  330","  280","0.0","17.9","23.0","    1",,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-17","8.05"," 1731"," 1730","0.00","   79","0.0","2",,"36","18","  569","   50","   50","0.0","15.0","17.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-18","9.84"," 1643"," 1653","0.01","    0","0.0","2",,"44","31","    0","  170","  160","0.0","17.0","21.0","    1",,,,"    1",,,,,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-19","7.61"," 1334"," 1256","0.65","    0","0.8","1",,"44","33","    0","  340","  330","0.0","15.0","17.9","    1","    1",,,"    1",,,,"    1",,,"    1",,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-20","15.21"," 1507"," 1651","0.05","   42","0.3","1",,"35","29","  305","  260","  280","0.0","29.1","36.0","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-21","11.18"," 0200"," 0148","0.00","   82","0.0","1",,"33","25","  601","  300","  310","0.0","21.9","28.0",,,,,,,,,,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-22","7.61"," 1739"," 1738","0.00","   97","0.0","0",,"33","22","  713","  290","  280","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-23","6.26"," 1444"," 1345","0.00","  100","0.0","0",,"34","19","  737","  300","  270","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-24","7.61"," 1505"," 1418","0.00","   79","0.3","0",,"33","23","  583","  200","  240","0.0","15.0","17.9","    1",,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-25","14.32"," 1533"," 1533","0.30","   78","0.0","0",,"42","18","  583","  190","  190","0.0","34.9","38.9","    1",,,,"    1",,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-26","14.09"," 0014"," 0014","0.00","   89","0.0","0",,"41","30","  666","  230","  230","0.0","23.9","29.1",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-27","7.16"," 1045"," 1044","0.23","   56","0.9","0",,"45","30","  420","  220","  220","0.0","14.1","15.0","    1",,,,"    1",,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-28","8.28"," 2032"," 2031","0.18","   31","1.2","2",,"36","27","  233","  340","  350","0.0","16.1","17.9","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-29","6.49"," 1727"," 1747","0.00","   97","0.0","1",,"35","21","  725","   20","   20","0.0","12.1","14.1",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-30","11.41"," 1104"," 1357","0.00","   89","0.0","0",,"49","22","  674","  110","  120","0.0","21.0","23.9",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-31","12.53"," 1244"," 1319","0.25","    4","0.0","0",,"58","40","   30","  190","  200","0.0","21.9","25.9","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-01","21.92"," 1643"," 1637","0.05","   59","0.0","0",,"62","32","  452","  240","  250","0.0","38.0","49.0",,,,,"    1",,,,,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-02","11.18"," 0229"," 0201","0.00","   98","0.0","0",,"38","28","  747","  310","  310","0.0","19.9","25.9",,,,,,,,,,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-03","8.05"," 1409"," 1552","0.00","   94","0.0","0",,"57","25","  725","  210","  220","0.0","16.1","21.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-04","8.05"," 0157"," 0158","0.28","    0","0.0","0",,"46","35","    0","  170","  170","0.0","17.0","19.9","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-05","7.16"," 1204"," 1203","0.00","   69","0.0","0",,"50","34","  531","  210","  220","0.0","15.0","17.0",,"    1",,,,,,,"    1",,"    1","    1",,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-06","10.74"," 1722"," 1843","0.00","  100","0.0","0",,"63","36","  778","   60","   60","0.0","21.0","23.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-07","11.18"," 2125"," 2116","0.00","   95","0.0","0",,"68","42","  739","  140","  140","0.0","17.9","23.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-08","7.83"," 1702"," 1701","0.00","   90","0.0","0",,"69","44","  703","  350","  360","0.0","17.0","19.9",,,,,,,"    1","    1",,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-09","14.99"," 1303"," 1302","0.02","   72","0.0","0",,"62","36","  568","  240","  250","0.0","31.1","40.0",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-10","6.71"," 2341"," 2341","0.00","   79","0.0","0",,"53","33","  621","   70","   70","0.0","17.0","21.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-11","11.41"," 2323"," 2323","1.00","   26","0.0","0",,"68","39","  206","  310","  310","0.0","25.9","31.1","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-12","15.21"," 0811"," 0802","0.06","   18","0.0","0",,"52","37","  143","  240","  240","0.0","23.0","29.1","    1","    1","    1",,"    1",,,,"    1",,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-13","10.29"," 1423"," 1335","0.12","   50","0.0","0",,"43","33","  400","  350","  330","0.0","16.1","21.0","    1",,,,"    1",,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-14","7.83"," 1640"," 1152","0.00","   93","0.0","0",,"49","35","  746","  330","   30","0.0","15.0","21.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-15","8.72"," 1702"," 1325","0.00","  100","0.0","0",,"49","29","  801","  230","  210","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-16","8.72"," 1127"," 1030","0.00","  100","0.0","0",,"63","36","  806","  240","  240","0.0","21.0","23.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-17","8.50"," 1139"," 1134","0.00","   99","0.0","0",,"72","46","  796","  250","  250","0.0","17.0","21.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-18","6.26"," 1057"," 1056","0.00","  100","0.0","0",,"75","49","  811","  230","  230","0.0","14.1","17.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-19","8.05"," 1506"," 1505","0.00","   98","0.0","0",,"87","53","  795","  110","  110","0.0","19.9","23.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-20","10.07"," 1236"," 1231","0.00","   72","0.0","0",,"75","49","  585","  180","  170","0.0","23.0","28.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-21","8.72"," 1713"," 1518","0.00","   97","0.0","0",,"77","54","  796","  160","  140","0.0","17.0","21.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-22","6.49"," 1513"," 1511","0.00","   92","0.0","0",,"77","54","  752","  350","  350","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-23","8.95"," 1301"," 1213","0.00","   78","0.0","0",,"70","49","  643","  250","  240","0.0","21.0","25.1",,,,,,,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-24","8.05"," 1249"," 1248","0.00","   95","0.0","0",,"69","41","  783","   80","   80","0.0","16.1","21.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-25","7.61"," 0921"," 0921","0.00","   77","0.0","0",,"74","52","  638","  230","  240","0.0","17.9","23.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-26","14.32"," 1629"," 1721","0.01","   77","0.0","0",,"79","49","  643","  230","  230","0.0","29.1","34.9","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-27","9.17"," 1349"," 1510","0.00","   88","0.0","0",,"60","45","  731","  210","  240","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-28","11.41"," 0657"," 0436","0.46","    0","0.0","0",,"52","39","    0","  350","   20","0.0","17.9","25.9","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-29","8.95"," 1527"," 1415","0.05","   70","0.0","0",,"49","33","  582","  240","  240","0.0","19.9","23.0","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-30","8.72"," 1418"," 0952","0.00","   97","0.0","0",,"48","30","  819","  230","  230","0.0","16.1","21.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-01","8.05"," 2033"," 2033","0.01","   69","0.0","0",,"60","33","  583","   70","   80","0.0","17.9","21.9","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-02","7.16"," 0324"," 0357","0.13","   16","0.0","0",,"66","49","  139","   90","  110","0.0","17.0","19.9","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-03","9.62"," 1709"," 1708","0.42","    8","0.0","0",,"73","50","   65","  290","  290","0.0","38.0","47.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-04","16.11"," 1315"," 1256","0.03","   80","0.0","0",,"53","39","  685","  230","  230","0.0","25.1","32.0","    1",,,,,,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-05","9.40"," 1232"," 1454","0.00","  100","0.0","0",,"65","36","  856","  250","  220","0.0","19.9","23.0",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-06","5.82"," 0137"," 0136","0.00","   93","0.0","0",,"65","45","  798","  340","  330","0.0","17.0","19.9",,,,,,,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-07","10.74"," 2308"," 2308","0.26","   58","0.0","0",,"73","47","  502","  240","  240","0.0","23.9","31.1",,"    1",,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-08","8.05"," 0017"," 0016","0.00","   58","0.0","0",,"55","44","  503","  240","  230","0.0","17.9","21.9",,"    1",,,,,,,"    1",,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-09","10.51"," 1116"," 1110","0.00","   95","0.0","0",,"60","41","  820","   70","   50","0.0","21.9","25.1",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-10","6.49"," 1455"," 1326","0.00","   82","0.0","0",,"65","45","  706","  330","  360","0.0","17.0","21.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-11","11.18"," 1601"," 1508","0.13","   66","0.0","0",,"65","45","  573","  180","  140","0.0","28.0","36.0",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-12","8.05"," 1446"," 1445","0.02","   64","0.0","0",,"59","47","  556","   30","   30","0.0","19.9","23.0",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-13","6.93"," 1523"," 1522","0.00","   99","0.0","0",,"66","43","  863","  230","  240","0.0","14.1","19.9","    1",,,,,,,,,,"    1",,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-14","10.74"," 1535"," 1518","0.19","   67","0.0","0",,"70","48","  583","  240","  230","0.0","23.0","29.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-15","6.26"," 0309"," 0308","0.01","   72","0.0","0",,"62","45","  634","  310","  310","0.0","16.1","17.9","    1",,,,,,,,,,"    1","    1",,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-16","7.61"," 2328"," 1922","0.00","   38","0.0","0",,"63","47","  330","  220","  230","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-17","13.42"," 1509"," 1508","0.02","   45","0.0","0",,"60","47","  395","  240","  240","0.0","30.0","36.0",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-18","10.74"," 1550"," 1547","0.20","   24","0.0","0",,"51","41","  213","  290","  290","0.0","23.0","30.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-19","15.43"," 1302"," 1129","0.00","   30","0.0","0",,"49","38","  270","  260","  230","0.0","28.0","34.9",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-20","10.74"," 1544"," 1544","0.00","   63","0.0","0",,"59","37","  555","  240","  240","0.0","23.0","29.1",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-21","13.65"," 1627"," 1309","0.09","   37","0.0","0",,"49","38","  328","  240","  240","0.0","23.0","29.1",,,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-22","12.53"," 1331"," 1330","0.02","   42","0.0","0",,"58","42","  373","  290","  300","0.0","21.0","23.9",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-23","9.17"," 1549"," 1545","0.00","   97","0.0","0",,"61","42","  867","  240","  240","0.0","17.9","21.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-24","7.38"," 1329"," 1251","0.00","  100","0.0","0",,"65","44","  896","  330","  310","0.0","17.0","21.9","    1",,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-25","7.83"," 1332"," 1302","0.00","  100","0.0","0",,"71","42","  898","  250","  250","0.0","15.0","17.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-26","13.20"," 1609"," 1611","0.00","   78","0.0","0",,"75","53","  698","  230","  240","0.0","25.9","34.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-27","9.84"," 0541"," 0541","0.06","   50","0.0","0",,"66","41","  452","  350","  350","0.0","17.0","21.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-28","6.49"," 1547"," 1546","0.00","  100","0.0","0",,"61","37","  903","  300","  300","0.0","14.1","17.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-29","12.97"," 1411"," 1411","0.00","  100","0.0","0",,"63","42","  904","  240","  240","0.0","23.0","25.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-30","8.05"," 2307"," 2353","0.00","   65","0.0","0",,"74","44","  592","  200","  200","0.0","21.9","25.1","    1",,,,"    1",,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-05-31","14.32"," 0124"," 0154","0.95","   41","0.0","0",,"74","59","  369","  240","  240","0.0","25.9","36.0","    1",,"    1",,"    1",,,"    1",,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-06-01","11.41"," 1121"," 1119","0.00","   32","0.0","0",,"63","52","  286","  240","  230","0.0","21.0","23.9",,,,,,,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-06-02","13.20"," 1618"," 1540","0.00","  100","0.0","0",,"69","52","  910","  220","  230","0.0","21.0","25.9",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-06-03","7.16"," 0506"," 0506","0.04","   15","0.0","0",,"68","57","  132","  310","  300","0.0","15.0","16.1","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-06-04","8.50"," 1737"," 1736","0.00","   69","0.0","0",,"75","59","  632","   60","   50","0.0","17.9","21.0","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-06-05","6.49"," 1405"," 1635","0.33","   69","0.0","0",,"83","58","  626","  250","  240","0.0","15.0","17.0","    1",,"    1",,"    1",,,"    1",,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-06-06","12.30"," 1446"," 1448","0.00","  100","0.0","0",,"88","71","  914","  250","  240","0.0","21.0","28.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-06-07","12.75"," 0833"," 0333","0.00","   91","0.0","0",,"81","71","  831","  240","  250","0.0","21.0","30.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-06-08","12.97"," 1423"," 0604","0.00","   75","0.0","0",,"82","68","  683","  240","  230","0.0","23.9","31.1",,,"    1",,,,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-06-09","15.43"," 1208"," 1323","0.32","   91","0.0","0",,"89","67","  836","  250","  240","0.0","30.0","36.9","    1",,"    1",,"    1",,,"    1",,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-06-10","12.53"," 0925"," 0924","0.18","   80","0.0","0",,"82","61","  734","  220","  220","0.0","30.0","38.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,,
